Date;CHF/PLN;USD/PLN;EUR/PLN;EUR/USD;CHF/USD
2023-09-18;4,8519;4,3489;4,6377;1,066407597323461;1,1156614316263882
2023-09-19;4,8505;4,3472;4,6458;1,0686878910563122;1,1157756716967244
2023-09-20;4,8483;4,3501;4,6529;1,0696075952276958;1,1145261028482103
2023-09-21;4,7809;4,3365;4,621;1,0656059033783005;1,102478957684769
2023-09-22;4,7752;4,3269;4,6069;1,0647114562388778;1,1036076636853174
2023-09-25;4,747;4,3188;4,5892;1,0626099842548855;1,099147911456886
2023-09-26;4,7657;4,3485;4,6077;1,0596067609520525;1,0959411291249856
2023-09-27;4,759;4,3622;4,6065;1,056003851267709;1,0909632754114897
2023-09-28;4,7973;4,4062;4,634;1,0516998774454178;1,0887612909082656
2023-09-29;4,803;4,3697;4,6356;1,0608508593267274;1,099160125409067
2023-10-02;4,7869;4,3634;4,6091;1,056309300087088;1,0970573406059494
2023-10-03;4,7848;4,4012;4,6147;1,0485094974097973;1,087158047805144
2023-10-04;4,8065;4,4155;4,6303;1,0486468123655306;1,0885516929000114
2023-10-05;4,7683;4,3768;4,5974;1,0504021202705174;1,0894489124474502
2023-10-06;4,7768;4,3608;4,5998;1,0548064575307283;1,0953953403045311
2023-10-09;4,7704;4,3439;4,5793;1,0541909344137756;1,09818365984484
2023-10-10;4,7537;4,2985;4,5581;1,0603931604047923;1,1058974060718856
2023-10-11;4,7174;4,2589;4,5183;1,0609077461316303;1,107656906713001
2023-10-12;4,7398;4,2659;4,5329;1,0625893715276962;1,1110902740336153
2023-10-13;4,747;4,3033;4,5417;1,0553993446889596;1,103106917946692
2023-10-16;4,7085;4,2505;4,4804;1,0540877543818377;1,1077520291730385
2023-10-17;4,6676;4,2131;4,4389;1,0535947402150436;1,1078778096888278
2023-10-18;4,6753;4,2035;4,4488;1,0583561317949328;1,112239800166528
2023-10-19;4,6989;4,2264;4,4529;1,0535917092561045;1,1117972742759796
2023-10-20;4,7328;4,2194;4,4675;1,0587998293596246;1,121676067687349
2023-10-23;4,7083;4,2022;4,4552;1,060206558469373;1,12043691399743
2023-10-24;4,6974;4,1884;4,4604;1,064941266354694;1,1215261197593354
2023-10-25;4,7236;4,2284;4,4758;1,0585091287484627;1,1171128559265917
2023-10-26;4,7123;4,2395;4,4708;1,0545583205566695;1,1115225852105202
2023-10-27;4,6935;4,2267;4,4642;1,056190408592992;1,1104407693945633
